#NET=AH,STA=ANQ,MINCC=0.80,XYFILE=AH.ANQ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JS|XIY|167|-64.88|5.59|-64.57|4.26|2009-06-03T18:54:00Z|2012-04-11T08:38:00Z
JS|XIY|64|-60.95|9.10|-62.20|5.85|2012-04-14T19:26:00Z|2013-06-13T16:47:00Z
JS|XIY|12|0.35|6.09|-1.00|5.47|2013-06-15T16:11:00Z|2013-09-01T11:52:00Z
JS|XIY||||||2013-09-01T11:52:00Z|NULL
#NET=JS,STA=XW,MINCC=0.80,XYFILE=JS.XW.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JS|XW|104|-4.82|7.72|-5.32|4.67|2007-09-19T07:27:00Z|2009-05-16T00:53:00Z
JS|XW|2|-24.18|28.54|-24.18|29.92|2009-05-24T00:58:00Z|2009-06-14T05:58:00Z
JS|XW|92|-2.64|6.46|-3.03|5.07|2009-06-17T07:08:00Z|2011-01-09T18:21:00Z
JS|XW|5|-10.70|31.02|1.69|3.99|2011-01-13T16:16:00Z|2011-01-24T02:45:00Z
JS|XW|1|-1.23|NA|-1.23|0.00|2011-02-02T00:38:00Z|2011-02-02T00:38:00Z
JS|XW|158|0.60|4.75|1.01|2.85|2011-02-06T11:21:00Z|2013-09-01T11:52:00Z
JS|XW||||||2013-09-01T11:52:00Z|NULL
#NET=JS,STA=XY,MINCC=0.80,XYFILE=JS.XY.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JS|XY|40|11.29|4.71|11.49|3.97|2007-09-12T11:10:00Z|2008-08-19T16:30:00Z
JS|XY|33|-6.32|4.27|-7.13|1.91|2008-08-30T06:54:00Z|2009-04-06T01:32:00Z
JS|XY|117|4.05|9.01|5.03|3.50|2009-04-15T20:01:00Z|2011-08-16T17:33:00Z
JS|XY|1|9.66|NA|9.66|0.00|2011-08-20T16:55:00Z|2011-08-20T16:55:00Z
JS|XY|16|12.61|10.19|12.05|4.28|2011-08-22T20:12:00Z|2012-01-10T18:36:00Z
JS|XY|72|2.80|5.99|3.21|7.24|2012-02-02T13:34:00Z|2013-09-01T11:52:00Z
JS|XY||||||2013-09-01T11:52:00Z|NULL
#NET=JS,STA=XZ,MINCC=0.80,XYFILE=JS.XZ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JS|XZ|121|5.27|6.49|5.37|2.64|2007-09-12T11:10:00Z|2008-10-21T13:00:00Z
JS|XZ|1|2.96|NA|2.96|0.00|2008-10-22T12:55:00Z|2008-10-22T12:55:00Z
JS|XZ|50|5.22|5.50|5.98|3.03|2008-10-23T10:04:00Z|2009-05-24T00:58:00Z
JS|XZ|1|5.76|NA|5.76|0.00|2009-06-02T02:17:00Z|2009-06-02T02:17:00Z
JS|XZ|249|6.11|4.37|5.77|3.16|2009-06-03T18:54:00Z|2013-05-26T06:08:00Z
JS|XZ|15|-0.28|5.35|0.00|3.16|2013-06-05T04:47:00Z|2013-09-01T11:52:00Z
JS|XZ||||||2013-09-01T11:52:00Z|NULL
#NET=JS,STA=YC,MINCC=0.80,XYFILE=JS.YC.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JS|YC|6|150.69|10.29|153.22|2.48|2008-10-05T22:56:00Z|2009-01-03T22:33:00Z
JS|YC|1|146.63|NA|146.63|0.00|2009-01-15T07:27:00Z|2009-01-15T07:27:00Z
JS|YC|28|156.58|5.65|156.95|5.97|2009-03-19T18:17:00Z|2013-05-23T17:19:00Z
JS|YC||||||2013-05-23T17:19:00Z|NULL
#NET=JS,STA=YX,MINCC=0.80,XYFILE=JS.YX.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JS|YX|5|48.16|33.50|33.71|1.99|2007-09-12T11:10:00Z|2007-09-14T05:46:00Z
JS|YX|1|44.17|NA|44.17|0.00|2007-09-26T12:36:00Z|2007-09-26T12:36:00Z
JS|YX|7|25.39|34.36|36.06|6.08|2007-09-27T19:57:00Z|2007-11-19T00:52:00Z
JS|YX|1|39.94|NA|39.94|0.00|2007-12-09T07:28:00Z|2007-12-09T07:28:00Z
JS|YX|5|32.69|4.25|31.30|4.94|2007-12-19T09:30:00Z|2008-01-04T07:29:00Z
JS|YX|32|27.93|5.14|27.69|3.98|2008-01-06T05:14:00Z|2008-11-24T09:02:00Z
JS|YX||||||2008-11-24T09:02:00Z|NULL
#NET=JS,STA=ZJ,MINCC=0.80,XYFILE=JS.ZJ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JS|ZJ|79|-10.95|6.51|-10.38|4.06|2007-08-08T17:04:00Z|2008-08-28T12:37:00Z
JS|ZJ|1|-11.62|NA|-11.62|0.00|2008-08-30T06:54:00Z|2008-08-30T06:54:00Z
JS|ZJ|281|-11.00|5.52|-11.17|4.08|2008-09-01T04:00:00Z|2012-11-19T09:44:00Z
JS|ZJ|2|1.80|10.97|1.80|11.50|2012-12-02T00:54:00Z|2012-12-08T16:35:00Z
JS|ZJ|50|-9.83|7.47|-10.08|4.95|2012-12-10T16:53:00Z|2013-08-30T16:25:00Z
JS|ZJ||||||2013-08-30T16:25:00Z|NULL
#NET=JX,STA=ANY,MINCC=0.80,XYFILE=JX.ANY.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|ANY|31|12.01|9.87|13.66|2.68|2007-08-15T20:22:00Z|2008-03-03T09:31:00Z
JX|ANY|1|9.74|NA|9.74|0.00|2008-03-12T11:23:00Z|2008-03-12T11:23:00Z
JX|ANY|36|12.60|3.51|12.51|2.94|2008-03-15T14:43:00Z|2009-03-19T18:17:00Z
JX|ANY|32|20.50|5.14|19.63|2.83|2009-04-01T03:54:00Z|2010-03-04T14:02:00Z
JX|ANY|139|15.76|4.15|15.99|2.49|2010-03-05T16:07:00Z|2013-02-06T00:07:00Z
JX|ANY|39|-1.71|3.80|-1.02|2.02|2013-02-07T00:30:00Z|2013-09-01T11:52:00Z
JX|ANY||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=DAY,MINCC=0.80,XYFILE=JX.DAY.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|DAY|10|-8.00|17.46|-11.68|3.39|2007-08-08T17:04:00Z|2007-10-25T13:50:00Z
JX|DAY|1|-14.63|NA|-14.63|0.00|2007-12-09T07:28:00Z|2007-12-09T07:28:00Z
JX|DAY|27|-9.81|11.88|-10.80|2.59|2007-12-19T09:30:00Z|2009-06-02T02:17:00Z
JX|DAY|1|-6.81|NA|-6.81|0.00|2009-08-30T14:51:00Z|2009-08-30T14:51:00Z
JX|DAY|72|-11.18|5.37|-11.23|4.28|2009-09-02T07:55:00Z|2013-02-06T00:07:00Z
JX|DAY|21|2.07|2.37|1.96|2.40|2013-02-14T13:13:00Z|2013-09-01T11:52:00Z
JX|DAY||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=DUC,MINCC=0.80,XYFILE=JX.DUC.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|DUC|197|1.33|7.68|1.28|4.83|2007-08-01T17:08:00Z|2013-06-05T04:47:00Z
JX|DUC|1|-4.74|NA|-4.74|0.00|2013-06-13T16:47:00Z|2013-06-13T16:47:00Z
JX|DUC|3|-3.06|4.03|-2.50|4.69|2013-08-12T00:53:00Z|2013-09-01T11:52:00Z
JX|DUC||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=FEC,MINCC=0.80,XYFILE=JX.FEC.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|FEC|112|-2.38|6.46|-2.96|5.80|2007-08-01T17:08:00Z|2009-08-20T06:35:00Z
JX|FEC|1|-3.98|NA|-3.98|0.00|2009-08-30T14:51:00Z|2009-08-30T14:51:00Z
JX|FEC|23|-1.06|8.77|-1.97|5.34|2009-09-02T07:55:00Z|2010-02-11T18:43:00Z
JX|FEC|1|-5.72|NA|-5.72|0.00|2010-02-13T02:34:00Z|2010-02-13T02:34:00Z
JX|FEC|58|-3.24|4.89|-2.77|4.24|2010-02-15T21:51:00Z|2011-05-14T21:07:00Z
JX|FEC|116|-0.67|5.13|-0.08|4.26|2011-05-15T18:37:00Z|2013-09-01T11:52:00Z
JX|FEC||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=GAA,MINCC=0.80,XYFILE=JX.GAA.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|GAA|4|-102.75|21.02|-110.77|8.64|2008-12-30T19:49:00Z|2009-01-18T14:11:00Z
JX|GAA|1|-116.80|NA|-116.80|0.00|2009-01-19T03:35:00Z|2009-01-19T03:35:00Z
JX|GAA|55|-116.76|7.58|-116.90|3.59|2009-02-18T21:53:00Z|2010-07-18T19:48:00Z
JX|GAA|1|-112.25|NA|-112.25|0.00|2010-07-22T05:03:00Z|2010-07-22T05:03:00Z
JX|GAA|78|-114.84|13.73|-116.22|3.32|2010-07-30T03:56:00Z|2013-01-05T08:58:00Z
JX|GAA|20|0.52|4.83|-0.02|3.22|2013-01-28T16:38:00Z|2013-08-16T02:31:00Z
JX|GAA||||||2013-08-16T02:31:00Z|NULL
#NET=JX,STA=GAZ,MINCC=0.80,XYFILE=JX.GAZ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|GAZ|3|8.62|7.58|11.13|5.19|2007-08-08T17:04:00Z|2007-08-15T20:22:00Z
JX|GAZ|58|-0.24|3.48|-0.07|3.57|2007-08-16T08:39:00Z|2008-08-30T06:54:00Z
JX|GAZ|38|4.13|4.72|3.56|2.30|2008-09-06T05:47:00Z|2009-08-18T21:20:00Z
JX|GAZ|1|3.43|NA|3.43|0.00|2009-08-30T14:51:00Z|2009-08-30T14:51:00Z
JX|GAZ|158|2.84|3.36|3.02|2.39|2009-09-02T07:55:00Z|2013-02-06T00:07:00Z
JX|GAZ|31|-1.89|2.44|-1.59|2.51|2013-02-07T00:30:00Z|2013-09-01T11:52:00Z
JX|GAZ||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=HUC,MINCC=0.80,XYFILE=JX.HUC.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|HUC|58|1.46|8.56|0.36|1.87|2007-08-20T21:30:00Z|2008-10-28T23:09:00Z
JX|HUC|1|-4.45|NA|-4.45|0.00|2008-12-06T10:55:00Z|2008-12-06T10:55:00Z
JX|HUC|85|0.56|6.22|1.06|2.13|2008-12-08T18:39:00Z|2010-12-02T03:12:00Z
JX|HUC|1|2.91|NA|2.91|0.00|2010-12-21T14:07:00Z|2010-12-21T14:07:00Z
JX|HUC|122|-0.17|5.44|0.40|2.19|2010-12-23T14:00:00Z|2013-08-30T16:25:00Z
JX|HUC||||||2013-08-30T16:25:00Z|NULL
#NET=JX,STA=JDZ,MINCC=0.80,XYFILE=JX.JDZ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|JDZ|56|-1.49|10.95|-1.86|5.78|2007-08-08T17:04:00Z|2008-05-20T13:53:00Z
JX|JDZ|1|17.26|NA|17.26|0.00|2008-05-25T19:18:00Z|2008-05-25T19:18:00Z
JX|JDZ|14|-7.70|24.30|0.23|3.85|2008-06-03T16:20:00Z|2008-12-08T18:39:00Z
JX|JDZ|1|17.78|NA|17.78|0.00|2008-12-09T06:23:00Z|2008-12-09T06:23:00Z
JX|JDZ|2|31.68|27.62|31.68|28.96|2009-01-15T17:49:00Z|2009-01-19T03:35:00Z
JX|JDZ|282|-1.39|5.98|-0.96|5.00|2009-02-18T21:53:00Z|2013-09-01T11:52:00Z
JX|JDZ||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=JGS,MINCC=0.80,XYFILE=JX.JGS.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|JGS|359|3.51|5.58|3.90|4.43|2007-08-02T02:37:00Z|2013-03-01T13:20:00Z
JX|JGS|1|2.48|NA|2.48|0.00|2013-03-09T14:56:00Z|2013-03-09T14:56:00Z
JX|JGS|41|3.63|5.12|2.51|3.69|2013-03-13T03:12:00Z|2013-09-01T11:52:00Z
JX|JGS||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=JIA,MINCC=0.80,XYFILE=JX.JIA.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|JIA|164|2.37|5.17|2.33|3.13|2007-08-01T17:08:00Z|2010-07-25T03:39:00Z
JX|JIA|1|0.93|NA|0.93|0.00|2010-07-30T03:56:00Z|2010-07-30T03:56:00Z
JX|JIA|51|-0.24|7.50|1.11|5.16|2010-08-04T07:15:00Z|2011-08-11T10:06:00Z
JX|JIA|1|3.27|NA|3.27|0.00|2011-08-16T11:03:00Z|2011-08-16T11:03:00Z
JX|JIA|74|1.22|4.96|1.69|2.88|2011-08-20T16:55:00Z|2013-02-28T14:05:00Z
JX|JIA|37|-3.04|5.54|-1.41|2.22|2013-03-01T12:53:00Z|2013-09-01T11:52:00Z
JX|JIA||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=JIJ,MINCC=0.80,XYFILE=JX.JIJ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|JIJ|205|0.45|4.28|0.37|3.84|2007-08-01T17:08:00Z|2010-05-16T00:33:00Z
JX|JIJ|1|1.69|NA|1.69|0.00|2010-05-27T17:14:00Z|2010-05-27T17:14:00Z
JX|JIJ|151|0.46|4.13|0.79|2.49|2010-06-02T09:28:00Z|2012-09-26T23:39:00Z
JX|JIJ|1|-3.26|NA|-3.26|0.00|2012-10-03T13:32:00Z|2012-10-03T13:32:00Z
JX|JIJ|63|0.59|3.76|0.48|3.26|2012-10-08T11:43:00Z|2013-09-01T11:52:00Z
JX|JIJ||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=JIX,MINCC=0.80,XYFILE=JX.JIX.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|JIX|114|-0.44|4.42|-0.43|3.47|2007-08-01T17:08:00Z|2009-09-29T17:48:00Z
JX|JIX|1|-2.44|NA|-2.44|0.00|2009-09-30T10:16:00Z|2009-09-30T10:16:00Z
JX|JIX|64|-0.55|4.01|-0.15|2.85|2009-10-13T05:37:00Z|2010-11-26T17:36:00Z
JX|JIX|1|-1.64|NA|-1.64|0.00|2010-12-02T03:12:00Z|2010-12-02T03:12:00Z
JX|JIX|124|-0.25|3.51|-0.24|2.49|2010-12-13T01:14:00Z|2013-07-07T18:35:00Z
JX|JIX||||||2013-07-07T18:35:00Z|NULL
#NET=JX,STA=LEA,MINCC=0.80,XYFILE=JX.LEA.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|LEA|26|0.99|5.21|1.48|5.01|2007-08-08T17:04:00Z|2010-07-10T11:43:00Z
JX|LEA|1|-1.56|NA|-1.56|0.00|2010-08-10T05:23:00Z|2010-08-10T05:23:00Z
JX|LEA|25|1.56|4.18|1.76|2.98|2011-01-13T16:16:00Z|2013-08-30T16:25:00Z
JX|LEA||||||2013-08-30T16:25:00Z|NULL
#NET=JX,STA=LON,MINCC=0.80,XYFILE=JX.LON.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|LON|4|9.34|15.54|2.21|1.48|2007-08-08T17:04:00Z|2007-09-02T01:05:00Z
JX|LON|1|1.52|NA|1.52|0.00|2007-09-12T23:49:00Z|2007-09-12T23:49:00Z
JX|LON|97|4.00|5.76|3.30|3.41|2007-09-13T03:35:00Z|2013-04-09T11:52:00Z
JX|LON|1|2.26|NA|2.26|0.00|2013-04-14T01:32:00Z|2013-04-14T01:32:00Z
JX|LON|7|1.87|7.65|0.40|2.27|2013-04-16T10:44:00Z|2013-09-01T11:52:00Z
JX|LON||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=NAC,MINCC=0.80,XYFILE=JX.NAC.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|NAC|2|31.05|39.32|31.05|41.22|2007-08-01T17:08:00Z|2007-08-02T03:21:00Z
JX|NAC|1|-1.66|NA|-1.66|0.00|2007-08-08T17:04:00Z|2007-08-08T17:04:00Z
JX|NAC|174|1.20|4.16|0.86|3.46|2007-08-08T17:05:00Z|2010-08-15T15:09:00Z
JX|NAC|10|10.65|15.98|6.43|3.09|2010-09-03T16:35:00Z|2011-01-18T20:23:00Z
JX|NAC|1|-6.05|NA|-6.05|0.00|2011-02-06T11:21:00Z|2011-02-06T11:21:00Z
JX|NAC|121|-1.18|3.89|-1.26|3.29|2011-02-21T23:51:00Z|2013-09-01T11:52:00Z
JX|NAC||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=NNC,MINCC=0.80,XYFILE=JX.NNC.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|NNC|62|-5.50|7.95|-4.96|5.82|2007-11-12T00:25:00Z|2008-10-19T05:10:00Z
JX|NNC|3|-1.36|38.44|14.97|16.69|2008-10-22T12:55:00Z|2008-11-02T13:48:00Z
JX|NNC|5|-25.26|44.80|-53.27|2.08|2008-11-03T19:21:00Z|2009-01-15T17:49:00Z
JX|NNC|1|-51.38|NA|-51.38|0.00|2009-01-19T03:35:00Z|2009-01-19T03:35:00Z
JX|NNC|3|-22.23|61.72|-55.47|7.03|2009-02-18T21:53:00Z|2009-04-07T04:23:00Z
JX|NNC|260|1.52|8.59|2.25|4.28|2009-04-15T17:47:00Z|2013-09-01T11:52:00Z
JX|NNC||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=SHC,MINCC=0.80,XYFILE=JX.SHC.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|SHC|30|1.43|4.45|0.82|4.59|2007-10-24T21:02:00Z|2009-11-08T19:41:00Z
JX|SHC|6|9.73|5.68|9.59|4.60|2009-11-09T10:44:00Z|2010-07-30T03:56:00Z
JX|SHC|44|0.54|3.58|-0.18|3.66|2010-08-10T05:23:00Z|2012-10-08T11:43:00Z
JX|SHC|52|-2.21|3.27|-2.33|2.85|2012-10-12T00:31:00Z|2013-09-01T11:52:00Z
JX|SHC||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=SHR,MINCC=0.80,XYFILE=JX.SHR.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|SHR|44|-0.82|10.12|0.20|4.18|2007-08-01T17:08:00Z|2008-01-06T05:14:00Z
JX|SHR|2|1.91|45.94|1.91|48.16|2008-01-07T03:12:00Z|2008-01-22T17:14:00Z
JX|SHR|4|23.26|18.29|32.30|0.33|2008-02-25T08:36:00Z|2008-03-03T02:37:00Z
JX|SHR|166|-1.95|11.32|-1.16|3.03|2008-03-03T09:31:00Z|2011-01-18T20:23:00Z
JX|SHR|1|-0.08|NA|-0.08|0.00|2011-02-06T11:21:00Z|2011-02-06T11:21:00Z
JX|SHR|146|-0.75|5.82|-0.58|2.79|2011-02-07T19:53:00Z|2013-09-01T11:52:00Z
JX|SHR||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=WAA,MINCC=0.80,XYFILE=JX.WAA.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|WAA|167|1.97|4.06|1.91|2.76|2007-08-01T17:08:00Z|2010-10-12T12:02:00Z
JX|WAA|1|1.12|NA|1.12|0.00|2010-10-16T15:44:00Z|2010-10-16T15:44:00Z
JX|WAA|130|1.02|3.42|0.95|2.71|2010-10-25T14:42:00Z|2013-09-01T11:52:00Z
JX|WAA||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=XIS,MINCC=0.80,XYFILE=JX.XIS.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|XIS|240|0.28|4.08|0.49|4.25|2007-08-01T17:08:00Z|2010-10-25T19:37:00Z
JX|XIS|2|-5.21|11.33|-5.21|11.88|2010-11-26T17:36:00Z|2010-12-02T03:12:00Z
JX|XIS|175|0.86|3.75|1.28|3.13|2010-12-13T01:14:00Z|2013-09-01T11:52:00Z
JX|XIS||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=XUW,MINCC=0.80,XYFILE=JX.XUW.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|XUW|210|-0.40|4.20|-0.59|3.49|2007-08-01T17:08:00Z|2013-05-21T01:55:00Z
JX|XUW|15|22.32|3.11|21.82|3.38|2013-05-23T17:19:00Z|2013-09-01T11:52:00Z
JX|XUW||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=YIC,MINCC=0.80,XYFILE=JX.YIC.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|YIC|243|-0.68|5.42|-0.89|4.83|2007-08-01T17:08:00Z|2012-10-08T11:43:00Z
JX|YIC|12|4.84|5.46|4.05|6.43|2012-10-12T00:31:00Z|2013-02-14T13:13:00Z
JX|YIC|3|-3.88|14.81|-11.00|4.12|2013-03-13T03:12:00Z|2013-04-06T04:42:00Z
JX|YIC|5|4.70|11.18|7.82|6.64|2013-04-09T11:52:00Z|2013-04-19T03:05:00Z
JX|YIC|23|-1.87|5.15|-2.32|5.11|2013-04-19T19:58:00Z|2013-09-01T11:52:00Z
JX|YIC||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=YOX,MINCC=0.80,XYFILE=JX.YOX.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|YOX|179|0.96|4.76|0.85|5.07|2007-08-08T17:04:00Z|2010-06-26T05:30:00Z
JX|YOX|36|2.66|15.62|6.05|8.81|2010-06-28T18:19:00Z|2011-05-14T21:07:00Z
JX|YOX|1|-7.21|NA|-7.21|0.00|2011-05-15T18:37:00Z|2011-05-15T18:37:00Z
JX|YOX|70|-0.19|7.67|-0.98|5.48|2011-07-07T09:10:00Z|2012-08-19T22:41:00Z
JX|YOX|1|2.16|NA|2.16|0.00|2012-09-08T10:51:00Z|2012-09-08T10:51:00Z
JX|YOX|58|1.81|4.82|0.56|4.68|2012-09-11T01:28:00Z|2013-09-01T11:52:00Z
JX|YOX||||||2013-09-01T11:52:00Z|NULL
#NET=JX,STA=YUG,MINCC=0.80,XYFILE=JX.YUG.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
JX|YUG|258|3.61|4.77|3.80|3.68|2007-08-01T17:08:00Z|2013-03-24T04:18:00Z
JX|YUG|1|13.40|NA|13.40|0.00|2013-04-06T04:42:00Z|2013-04-06T04:42:00Z
JX|YUG|23|4.72|6.46|5.14|3.99|2013-04-09T11:52:00Z|2013-09-01T11:52:00Z
JX|YUG||||||2013-09-01T11:52:00Z|NULL
#NET=LN,STA=ANS,MINCC=0.80,XYFILE=LN.ANS.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
LN|ANS|183|17.60|5.65|16.94|4.26|2007-07-30T22:42:00Z|2010-06-16T03:06:00Z
LN|ANS|119|9.28|5.88|8.21|5.44|2010-06-26T05:30:00Z|2012-12-14T10:36:00Z
LN|ANS|8|14.37|9.58|15.88|9.29|2012-12-15T04:49:00Z|2013-04-06T04:42:00Z
LN|ANS|16|-2.17|5.32|-3.21|5.78|2013-04-09T11:52:00Z|2013-09-01T11:52:00Z
LN|ANS||||||2013-09-01T11:52:00Z|NULL
#NET=LN,STA=BEP,MINCC=0.80,XYFILE=LN.BEP.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
LN|BEP|193|-0.01|8.09|0.14|7.00|2007-07-30T22:42:00Z|2009-07-24T03:11:00Z
LN|BEP|1|8.15|NA|8.15|0.00|2009-07-28T08:43:00Z|2009-07-28T08:43:00Z
LN|BEP|227|-2.43|7.44|-0.97|6.06|2009-07-30T20:05:00Z|2012-01-09T04:07:00Z
LN|BEP|1|39.66|NA|39.66|0.00|2012-01-10T18:36:00Z|2012-01-10T18:36:00Z
LN|BEP|1|-6.10|NA|-6.10|0.00|2012-01-24T00:52:00Z|2012-01-24T00:52:00Z
LN|BEP|116|-1.10|8.26|-1.37|6.52|2012-02-02T13:34:00Z|2013-09-01T11:52:00Z
LN|BEP||||||2013-09-01T11:52:00Z|NULL
#NET=LN,STA=BXI,MINCC=0.80,XYFILE=LN.BXI.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
LN|BXI|142|-6.03|11.51|-5.09|4.12|2007-08-01T17:08:00Z|2010-07-26T17:08:00Z
LN|BXI|1|-9.69|NA|-9.69|0.00|2010-07-29T07:31:00Z|2010-07-29T07:31:00Z
LN|BXI|75|-4.23|11.05|-4.56|4.92|2010-08-03T12:08:00Z|2012-05-09T04:35:00Z
LN|BXI|1|0.97|NA|0.97|0.00|2012-05-12T23:28:00Z|2012-05-12T23:28:00Z
LN|BXI|37|-6.78|5.55|-6.23|5.20|2012-05-16T00:59:00Z|2013-04-09T11:52:00Z
LN|BXI|16|0.26|4.65|0.04|5.10|2013-04-14T01:32:00Z|2013-09-01T11:52:00Z
LN|BXI||||||2013-09-01T11:52:00Z|NULL
#NET=LN,STA=BZH,MINCC=0.80,XYFILE=LN.BZH.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
LN|BZH|45|4.35|5.62|5.01|3.42|2007-07-30T22:42:00Z|2007-12-10T12:10:00Z
LN|BZH|1|2.73|NA|2.73|0.00|2007-12-13T15:51:00Z|2007-12-13T15:51:00Z
LN|BZH|197|4.14|5.24|4.08|4.21|2007-12-15T08:03:00Z|2009-10-31T19:09:00Z
LN|BZH|1|4.43|NA|4.43|0.00|2009-11-02T10:47:00Z|2009-11-02T10:47:00Z
LN|BZH|221|4.45|5.28|4.72|3.78|2009-11-08T19:41:00Z|2013-01-28T16:38:00Z
LN|BZH|46|-2.21|5.91|-1.15|4.52|2013-02-06T00:07:00Z|2013-09-01T11:52:00Z
LN|BZH||||||2013-09-01T11:52:00Z|NULL
#NET=LN,STA=CHY,MINCC=0.80,XYFILE=LN.CHY.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
LN|CHY|2|164.39|46.19|164.39|48.42|2007-08-01T17:08:00Z|2007-08-08T17:04:00Z
LN|CHY|153|178.71|7.34|178.78|6.72|2007-08-08T17:05:00Z|2009-07-01T09:30:00Z
LN|CHY|1|137.15|NA|137.15|0.00|2009-07-06T14:53:00Z|2009-07-06T14:53:00Z
LN|CHY|2|160.03|27.46|160.03|28.78|2009-08-10T19:55:00Z|2009-11-17T15:30:00Z
LN|CHY|5|144.58|78.96|178.91|7.99|2009-11-22T07:48:00Z|2011-01-09T10:03:00Z
